Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-810,Rrny_Efgngr,OS,2.76,10.0,231.8
Bond-811,Rrny_Efgngr,OS,1.23,14.0,571.7
Bond-812,Rrny_Efgngr,OS,2.69,14.0,610.7
Bond-813,Rrny_Efgngr,OS,2.08,14.0,606.1
Bond-814,Rrny_Efgngr,OS,1.85,14.0,698.1
Bond-815,Rrny_Efgngr,OS,2.91,14.0,681.6
Bond-816,Rrny_Efgngr,OS,1.57,10.0,280.3
Bond-817,Rrny_Efgngr,OS,0.91,15.0,966.2
Bond-818,Rrny_Efgngr,OS,2.87,15.0,777.0
Bond-819,Rrny_Efgngr,OS,2.03,16.0,729.3
Bond-820,Rrny_Efgngr,OS,1.66,15.0,716.5
Bond-821,Rrny_Efgngr,OS,1.32,16.0,678.0
Bond-822,Rrny_Efgngr,OS,2.21,15.0,722.1
Bond-823,Sbirervta,OS,17.13,5.0,112.0
Bond-824,Sbirervta,OS,2.89,5.0,27.3
Bond-825,Sbirervta,OS,7.04,5.0,62.1
Bond-826,Sbirervta,OS,18.32,5.0,121.7
Bond-827,TMT,OS,2.49,5.0,50.4
Bond-828,TMT,OS,3.63,5.0,75.7
Bond-829,TMT,OS,6.17,5.0,104.9
Bond-830,TMT,OS,10.52,5.0,144.2
Bond-831,TMT,OS,20.59,5.0,177.9
Bond-832,TMT,OS,12.47,5.0,163.4
Bond-833,TMT,OS,17.16,5.0,169.4
Bond-834,TMT,OS,4.31,7.0,128.1
Bond-835,TMT,OS,5.99,7.0,156.9
Bond-836,TMT,OS,1.71,7.0,94.4
Bond-837,TMT,OS,2.06,7.0,93.6
Bond-838,TMT,OS,2.77,7.0,101.7
Bond-839,TMT,OS,6.29,7.0,167.5
Bond-840,TMT,OS,3.25,7.0,119.6
Bond-841,TMT,OS,6.58,7.0,166.1
Bond-842,TMT,OS,4.98,9.0,140.5
Bond-843,TMT,OS,10.21,10.0,214.9
Bond-844,TMT,OS,7.68,10.0,206.1
Bond-845,TMT,OS,17.13,10.0,289.5
Bond-846,TMT,OS,8.35,5.0,147.9
Bond-847,TMT,OS,2.14,5.0,77.0
Bond-848,TMT,OS,3.22,5.0,97.9
Bond-849,TMT,OS,4.03,5.0,103.7
Bond-850,TMT,OS,4.84,5.0,103.5
Bond-851,TMT,OS,6.23,5.0,154.5
Bond-852,TMT,OS,7.02,5.0,158.5
Bond-853,TMT,OS,18.7,5.0,208.8
Bond-854,TMT,OS,12.52,5.0,191.6
Bond-855,TMT,OS,16.99,5.0,205.3
Bond-856,TMT,OS,3.43,9.0,167.4
Bond-857,TMT,OS,7.9,10.0,210.8
Bond-858,Tenafcbeg,OS,1.33,18.0,2057.8
Bond-859,Tenafcbeg,OS,1.04,8.0,316.4
Bond-860,Tenafcbeg,OS,6.0,8.0,356.6
Bond-861,Tenafcbeg,OS,1.17,8.0,183.2
Bond-862,Tenafcbeg,OS,1.27,12.0,583.6
Bond-863,Tenafcbeg,OS,3.25,9.0,314.4
Bond-864,Tenafcbeg,OS,1.7,6.0,116.1
Bond-865,Tenafcbeg,OS,6.0,6.0,164.0
Bond-866,Tenafcbeg,OS,1.35,9.0,936.8
Bond-867,Tenafcbeg,OS,2.24,8.0,126.1
Bond-868,Tenafcbeg,OS,5.3,7.0,125.7
Bond-869,Tenafcbeg,OS,1.76,7.0,121.2
Bond-870,Tenafcbeg,OS,2.06,9.0,157.0
Bond-871,Tenafcbeg,OS,1.11,9.0,210.4
Bond-872,Tenafcbeg,OS,1.51,9.0,128.4
Bond-873,Tenafcbeg,OS,4.34,9.0,160.0
Bond-874,Tenafcbeg,OS,2.67,9.0,134.8
Bond-875,Tenafcbeg,OS,6.59,9.0,186.2
Bond-876,Tenafcbeg,OS,1.75,9.0,296.5
Bond-877,Tenafcbeg,OS,3.48,7.0,358.9
Bond-878,Tenafcbeg,OS,2.06,5.0,136.1
Bond-879,Tenafcbeg,OS,1.68,9.0,297.7
Bond-880,Tenafcbeg,OS,1.58,13.0,612.2
Bond-881,Tenafcbeg,OS,1.07,9.0,206.8
Bond-882,Tenafcbeg,OS,1.61,10.0,483.9
Bond-883,Tenafcbeg,OS,1.58,12.0,703.3
Bond-884,Tenafcbeg,OS,2.06,8.0,253.1
Bond-885,Tenafcbeg,OS,3.35,7.0,265.7
Bond-886,Tenafcbeg,OS,1.66,7.0,247.0
Bond-887,Tenafcbeg,OS,2.66,7.0,116.8
Bond-888,Tenafcbeg,OS,3.76,5.0,114.4
Bond-889,Tenafcbeg,OS,7.89,5.0,158.4
Bond-890,Tenafcbeg,OS,3.5,5.0,118.3
Bond-891,Tenafcbeg,OS,7.53,5.0,161.6
Bond-892,Tenafcbeg,OS,1.67,11.0,437.0
Bond-893,Tenafcbeg,OS,1.16,8.0,188.9
Bond-894,Tenafcbeg,OS,2.03,9.0,273.1
Bond-895,Tenafcbeg,OS,1.12,7.0,241.0
Bond-896,Tenafcbeg,OS,1.46,8.0,237.4
Bond-897,Tenafcbeg,OS,1.65,8.0,237.1
Bond-898,Tenafcbeg,OS,1.54,10.0,281.2
Bond-899,Tenafcbeg,OS,1.17,7.0,182.3
Bond-900,Tenafcbeg,OS,1.6,11.0,515.9
Bond-901,Ugvyvgvrf,OS,1.49,8.0,146.7
Bond-902,Ugvyvgvrf,OS,12.82,8.0,246.7
Bond-903,Ugvyvgvrf,OS,1.61,7.0,157.9
Bond-904,Ugvyvgvrf,OS,4.73,6.0,99.2
Bond-905,Ugvyvgvrf,OS,3.55,6.0,117.1
